"","date","time","geo_code","crime_category","address"
"313495","01/01/2010","00:01","605-04","Sex Offenses","1800 S COTTAGE GROVE ,URBANA,IL"
"313496","01/01/2010","00:01","546-11","Sex Offenses","100 W PARK ,URBANA,IL"
"313959","01/14/2010","12:35","576-09","Sex Offenses","1200 S VINE ,URBANA,IL"
"314193","01/19/2010","15:30","576-09","Sex Offenses","1200 S VINE ,URBANA,IL"
"314312","01/22/2010","02:00","546-07","Sex Offenses","600 FAIRVIEW ,URBANA,IL"
"314422","01/24/2010","22:00","576-12","Sex Offenses","1200 COLE ,URBANA,IL"
"315513","02/19/2010","16:50","576-02","Sex Offenses","400 S VINE ,URBANA,IL"
"315731","02/24/2010","17:00","635-04","Sex Offenses","3400 MEMORY ,URBANA,IL"
"315903","03/01/2010","08:00","577-09","Sex Offenses","2000 E MICHIGAN ,URBANA,IL"
"316804","03/20/2010","12:00","577-11","Sex Offenses","1000 S SMITH ,URBANA,IL"
"316817","03/20/2010","17:30","605-08","Sex Offenses","1300 SILVER ,URBANA,IL"
"317223","03/31/2010","11:10","576-02","Sex Offenses","400 S VINE ,URBANA,IL"
"317825","04/14/2010","17:00","606-01","Sex Offenses","1900 E FLORIDA ,URBANA,IL"
"318098","04/20/2010","15:30","575-04","Sex Offenses","200 S RACE ,URBANA,IL"
"318477","04/29/2010","12:35","576-02","Sex Offenses","400 S VINE ,URBANA,IL"
"318960","05/10/2010","12:00","576-01","Sex Offenses","300 S BROADWAY ,URBANA,IL"
"320041","06/07/2010","18:58","605-08","Sex Offenses","1400 SILVER ,URBANA,IL"
"320138","06/10/2010","14:24","546-10","Sex Offenses","800 N ORCHARD ,URBANA,IL"
"321275","07/07/2010","09:04","576-02","Sex Offenses","400 S VINE ,URBANA,IL"
"322068","07/28/2010","08:00","576-08","Sex Offenses","600 GLOVER ,URBANA,IL"
"322737","08/13/2010","01:42","575-03","Sex Offenses","700 W ELM ,URBANA,IL"
"322955","08/20/2010","07:49","546-15","Sex Offenses","400 W UNIVERSITY ,URBANA,IL"
"322959","08/20/2010","07:49","546-15","Sex Offenses","400 W UNIVERSITY ,URBANA,IL"
"323018","08/21/2010","14:00","605-15","Sex Offenses","800 SCOVILL ,URBANA,IL"
"323214","08/26/2010","09:07","576-02","Sex Offenses","400 S VINE ,URBANA,IL"
"323842","09/10/2010","00:11","575-03","Sex Offenses","800 W GREEN ST ,URBANA,IL"
"323978","09/12/2010","17:00","575-02","Sex Offenses","900 W GREEN ,URBANA,IL"
"325305","10/12/2010","19:00","546-03","Sex Offenses","1200 LINVIEW ,URBANA,IL"
"325943","10/31/2010","00:01","577-11","Sex Offenses","1000 S SMITH ,URBANA,IL"
"326317","11/09/2010","21:30","605-07","Sex Offenses","1000 E COLORADO ,URBANA,IL"
"326781","11/23/2010","14:30","547-02","Sex Offenses","1200 DIVISION ,URBANA,IL"
"326924","11/28/2010","16:00","576-03","Sex Offenses","800 E MAIN ,URBANA,IL"
