"","field_1","date","time","geo_code","crime_cate","address","result_num","osm_id","display_na","category","type","latitude","longitude"
"1",314312,"01/22/2010","02:00","546-07","Sex Offenses","600 FAIRVIEW ,URBANA,IL",0,5327193,"600, Fairview Avenue, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.120183","-88.214617"
"2",314422,"01/24/2010","22:00","576-12","Sex Offenses","1200 COLE ,URBANA,IL",0,5327731,"1200, Cole Place, Middle Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.104308","-88.193978"
"3",315731,"02/24/2010","17:00","635-04","Sex Offenses","3400 MEMORY ,URBANA,IL",0,145821499,"3400, Memory Ln, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.0751992222222","-88.1840677777778"
"4",315903,"03/01/2010","08:00","577-09","Sex Offenses","2000 E MICHIGAN ,URBANA,IL",0,236355208,"The Urbana Tigers Athletic Complex, West Michigan Avenue, West Urbana, Urbana, Champaign County, Illinois, 61801, USA","leisure","pitch","40.10318015","-88.20838155"
"5",316817,"03/20/2010","17:30","605-08","Sex Offenses","1300 SILVER ,URBANA,IL",0,5342363,"1300, Silver Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.091562","-88.192888"
"6",317825,"04/14/2010","17:00","606-01","Sex Offenses","1900 E FLORIDA ,URBANA,IL",0,5929825787,"La Urbana, 4, Puerta de Carmona, San Bartolomé, Casco Antiguo, Sevilla, Andalucía, 41004, España","amenity","restaurant","37.3892872","-5.9848551"
"7",318098,"04/20/2010","15:30","575-04","Sex Offenses","200 S RACE ,URBANA,IL",0,4049510289,"Urbana First United Methodist Church, 304, South Race Street, West Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","amenity","place_of_worship","40.110438","-88.2082507"
"8",318960,"05/10/2010","12:00","576-01","Sex Offenses","300 S BROADWAY ,URBANA,IL",0,4764936612,"Urbana Parking Lot, Northwest Market Street, Ballard, Seattle, King County, Washington, 98107, USA","amenity","parking","47.6688172","-122.3773554"
"9",320041,"06/07/2010","18:58","605-08","Sex Offenses","1400 SILVER ,URBANA,IL",0,5342363,"1400, Silver Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.091568","-88.191664"
"10",320138,"06/10/2010","14:24","546-10","Sex Offenses","800 N ORCHARD ,URBANA,IL",0,173113626,"Urbana, Orchard, Singapore, Central, 238427, Singapore","landuse","residential","1.29518595","103.838038758233"
"11",322068,"07/28/2010","08:00","576-08","Sex Offenses","600 GLOVER ,URBANA,IL",0,5334023,"600, South Glover Avenue, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1088244102564","-88.1932475512821"
"12",322955,"08/20/2010","07:49","546-15","Sex Offenses","400 W UNIVERSITY ,URBANA,IL",0,129081246,"Urbana University, Thompson Street, Urbana Monument Square Historic District, Urbana, Champaign County, Ohio, 43078, USA","amenity","university","40.10052135","-83.7614354501606"
"13",322959,"08/20/2010","07:49","546-15","Sex Offenses","400 W UNIVERSITY ,URBANA,IL",0,129081246,"Urbana University, Thompson Street, Urbana Monument Square Historic District, Urbana, Champaign County, Ohio, 43078, USA","amenity","university","40.10052135","-83.7614354501606"
"14",323018,"08/21/2010","14:00","605-15","Sex Offenses","800 SCOVILL ,URBANA,IL",0,5339398,"800, East Scovill Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.0855106225166","-88.1984290596026"
"15",323842,"09/10/2010","00:11","575-03","Sex Offenses","800 W GREEN ST ,URBANA,IL",0,137918152,"800, West Green Street, West Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.110692","-88.217891"
"16",325305,"10/12/2010","19:00","546-03","Sex Offenses","1200 LINVIEW ,URBANA,IL",0,5343698,"1200, North Linview Avenue, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.122736367531","-88.2180639771435"
"17",326317,"11/09/2010","21:30","605-07","Sex Offenses","1000 E COLORADO ,URBANA,IL",0,655815387,"Urbana Boulevard, Sierra Ridge, Grand View Estates, Douglas County, Colorado, 80134, USA","highway","residential","39.5348713","-104.8180684"
"18",326781,"11/23/2010","14:30","547-02","Sex Offenses","1200 DIVISION ,URBANA,IL",0,5329393,"1200, Division Avenue, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.12391","-88.205225"
"19",326924,"11/28/2010","16:00","576-03","Sex Offenses","800 E MAIN ,URBANA,IL",0,126133,"Urbana, Champaign County, Illinois, USA","place","city","40.1117174","-88.207301"
"20",327014,"12/01/2010","00:01","547-05","Sex Offenses","900 N BROADWAY ,URBANA,IL",0,4764936612,"Urbana Parking Lot, Northwest Market Street, Ballard, Seattle, King County, Washington, 98107, USA","amenity","parking","47.6688172","-122.3773554"
"21",327991,"01/01/2011","00:01","605-07","Sex Offenses","700 COLORADO AV ,URBANA,IL",0,5338248,"Colorado Avenue, Urbana, Champaign County, Illinois, 61801, USA","highway","residential","40.0946784","-88.202592"
"22",329030,"01/31/2011","15:00","547-02","Sex Offenses","1200 DIVISION ,URBANA,IL",0,5329393,"1200, Division Avenue, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.12391","-88.205225"
"23",329073,"02/02/2011","04:20","577-05","Sex Offenses","1600 HUNTER ,URBANA,IL",0,5329693,"1600, Hunter Street, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.103872","-88.188484"
"24",330064,"02/25/2011","17:25","547-08","Sex Offenses","300 E UNIVERSITY ,URBANA,IL",0,129081246,"Urbana University, Thompson Street, Urbana Monument Square Historic District, Urbana, Champaign County, Ohio, 43078, USA","amenity","university","40.10052135","-83.7614354501606"
"25",330656,"03/13/2011","15:00","576-05","Sex Offenses","1800 JAMES CHERRY DR ,URBANA,IL",0,5343221,"1800, James Cherry Drive, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.0989781471096","-88.1855608850209"
"26",331818,"04/13/2011","17:15","547-08","Sex Offenses","900 N BROADWAY ,URBANA,IL",0,4764936612,"Urbana Parking Lot, Northwest Market Street, Ballard, Seattle, King County, Washington, 98107, USA","amenity","parking","47.6688172","-122.3773554"
