"","field_1","date","time","geo_code","crime_cate","address","latitude","longitude"
"1",432437,"01/01/2018","00:01","575-01","Theft","1200 W GREEN ST ,URBANA,IL","40.110583","-88.22408"
"2",432438,"01/01/2018","00:01","547-09","Theft","700 E PARK ST ,URBANA,IL","40.117272","-88.200393"
"3",432453,"01/01/2018","12:00","547-01","Theft","1000 N BROADWAY AV ,URBANA,IL","40.122056","-88.207533"
"4",432503,"01/03/2018","12:30","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"5",432532,"01/04/2018","10:00","606-01","Theft","1700 PHILO RD ,URBANA,IL","40.098258","-88.190636"
"6",432572,"01/06/2018","15:00","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"7",432584,"01/06/2018","22:35","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"8",432596,"01/07/2018","19:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"9",432636,"01/09/2018","12:00","519-07","Theft","1800 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"10",432641,"01/09/2018","13:19","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"11",432646,"01/09/2018","18:35","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"12",432654,"01/09/2018","21:50","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"13",432659,"01/10/2018","07:00","576-13","Theft","100 W VERMONT AV ,URBANA,IL","40.0999755584951","-88.2080525655379"
"14",432678,"01/10/2018","12:00","547-09","Theft","700 E PARK ST ,URBANA,IL","40.117272","-88.200393"
"15",432704,"01/11/2018","10:20","519-07","Theft","1900 CUNNINGHAM AVE ,URBANA,IL","40.115082","-88.207283"
"16",432705,"01/11/2018","10:42","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"17",432715,"01/11/2018","17:00","575-04","Theft","200 W MAIN ST ,URBANA,IL","40.112542","-88.209694"
"18",432716,"01/11/2018","17:00","575-04","Theft","200 W MAIN ST ,URBANA,IL","40.112542","-88.209694"
"19",432837,"01/15/2018","13:10","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"20",432840,"01/15/2018","16:45","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"21",432878,"01/16/2018","14:42","605-08","Theft","1200 E HARDING DR ,URBANA,IL","40.0939125578162","-88.1937479135281"
"22",432889,"01/16/2018","19:30","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"23",432890,"01/16/2018","19:40","546-02","Theft","1500 N LINCOLN AV ,URBANA,IL","40.1264882","-88.2178887379599"
"24",432948,"01/17/2018","20:04","548-09","Theft","2100 E UNIVERSITY AV ,URBANA,IL","40.1147810086461","-88.181386325437"
"25",432983,"01/18/2018","20:30","576-09","Theft","1000 S RACE ST ,URBANA,IL","40.104403","-88.20954"
"26",432997,"01/19/2018","03:30","546-10","Theft","600 W PARK ST ,URBANA,IL","40.117468","-88.214612"
"27",433034,"01/19/2018","18:44","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"28",433065,"01/20/2018","10:31","605-06","Theft","2000 CURETON DR ,URBANA,IL","40.093676","-88.200564"
"29",433077,"01/20/2018","15:40","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"30",433125,"01/22/2018","10:00","605-16","Theft","1100 WILLARD ST ,URBANA,IL","40.084373","-88.195301"
"31",433153,"01/22/2018","17:30","546-14","Theft","300 SPRINGFIELD AV ,URBANA,IL","40.1127337","-88.2273194"
"32",433245,"01/24/2018","17:46","547-11","Theft","200 N BROADWAY AV ,URBANA,IL","40.117583","-88.207549"
"33",433280,"01/25/2018","15:30","575-13","Theft","1100 W PENNSYLVANIA AV ,URBANA,IL","40.100682","-88.223007"
"34",433286,"01/25/2018","19:45","605-07","Theft","900 E HARDING DR ,URBANA,IL","40.0939020885112","-88.1967775501555"
"35",433298,"01/26/2018","11:00","576-09","Theft","1200 S VINE ST ,URBANA,IL","40.1027911980791","-88.2048633929431"
"36",433313,"01/26/2018","14:00","518-08","Theft","1600 N LINCOLN AV ,URBANA,IL","40.127504","-88.219418"
"37",433316,"01/26/2018","15:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"38",433317,"01/26/2018","15:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"39",433319,"01/26/2018","15:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"40",433340,"01/27/2018","11:40","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"41",433344,"01/27/2018","15:30","605-08","Theft","1200 E HARDING DR ,URBANA,IL","40.0939125578162","-88.1937479135281"
"42",433352,"01/27/2018","17:40","546-13","Theft","1 MAIN ST ,URBANA,IL","42.22488","-91.877414"
"43",433363,"01/28/2018","02:15","518-08","Theft","2000 N LINCOLN AVE ,URBANA,IL","40.1311870482836","-88.2194348858386"
"44",433366,"01/28/2018","11:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"45",433385,"01/29/2018","09:39","547-11","Theft","200 N BROADWAY AVE ,URBANA,IL","40.117583","-88.207549"
"46",433394,"01/29/2018","14:30","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"47",433421,"01/30/2018","13:30","519-07","Theft","1800 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"48",433428,"01/30/2018","16:20","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"49",433440,"01/31/2018","06:34","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"50",433465,"01/31/2018","15:10","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"51",433521,"02/01/2018","15:50","576-09","Theft","1200 S VINE ST ,URBANA,IL","40.1027911980791","-88.2048633929431"
"52",433534,"02/02/2018","00:01","607-01","Theft","1900 S HIGH CROSS RD ,URBANA,IL","40.0936845853658","-88.1624521097561"
"53",433537,"02/02/2018","07:20","576-02","Theft","1100 E UNIVERSITY AVE ,URBANA,IL","40.1160073554764","-88.193375682003"
"54",433553,"02/02/2018","10:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"55",433573,"02/03/2018","00:01","547-03","Theft","600 OAKLAND AV ,URBANA,IL","40.123895","-88.200959"
"56",433609,"02/04/2018","16:14","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"57",433620,"02/05/2018","13:15","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"58",433656,"02/06/2018","17:00","547-03","Theft","800 OAKLAND AV ,URBANA,IL","40.1238958591752","-88.1999227725193"
"59",433661,"02/06/2018","18:14","548-09","Theft","2100 E UNIVERSITY AV ,URBANA,IL","40.1147810086461","-88.181386325437"
"60",433667,"02/06/2018","22:48","575-03","Theft","800 W GREEN ST ,URBANA,IL","40.110692","-88.217891"
"61",433713,"02/07/2018","14:00","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"62",433716,"02/07/2018","15:00","546-08","Theft","1400 W PARK ST ,URBANA,IL","40.11819445","-88.2270700687448"
"63",433809,"02/10/2018","03:00","577-11","Theft","1000 S SMITH RD ,URBANA,IL","40.101945","-88.176045"
"64",433816,"02/10/2018","11:50","577-01","Theft","1500 E MAIN ST ,URBANA,IL","40.1130326521739","-88.1905083043478"
"65",433851,"02/11/2018","15:15","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"66",433855,"02/11/2018","21:17","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"67",433875,"02/12/2018","18:30","547-13","Theft","1300 E MAIN ST ,URBANA,IL","40.113026","-88.193265"
"68",433902,"02/13/2018","20:25","547-08","Theft","500 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"69",433906,"02/14/2018","00:01","577-06","Theft","1900 WEAVER ST ,URBANA,IL","40.104313","-88.184545"
"70",433922,"02/14/2018","14:45","576-09","Theft","1200 S VINE ST ,URBANA,IL","40.1027911980791","-88.2048633929431"
"71",433966,"02/15/2018","18:30","576-12","Theft","1100 PHILO RD ,URBANA,IL","40.1037486557042","-88.1918443138485"
"72",434020,"02/17/2018","10:00","577-11","Theft","1000 S SMITH RD ,URBANA,IL","40.101945","-88.176045"
